city,mean_temp
Dublin,14.101041666666667
London,16.900360464324613
Cape Town,14.74193736383442
Fredericton,14.046777343750001
Kamloops,18.587402343750004
San Juan,28.059733072916675
Bogota,14.909016927083329
North Battleford,18.149772135416658
Thunder Bay,14.426106770833336
Havana,28.478873697916658
Beijing,25.93739542483659
Managua,28.205989583333334
Victoria,13.442773437499994
Athens,23.617740885416662
Brandon,18.47301432291667
Mumbai,28.857096166938998
Quito,12.780664062500003
Cairo,25.852459218409585
Thompson,16.758365885416662
Prince George,11.820996093749999
Berlin,18.76269842728758
Amsterdam,15.790784415849672
Medicine Hat,18.524934895833333
Ottawa,14.437858072916667
Buenos Aires,10.329575776143784
La Paz,5.843749999999999
Lethbridge,16.723990885416665
Winnipeg,20.02301432291666
Moncton,14.953222656249999
Lisbon,21.306770833333335
Charlottetown,13.276497395833335
Moscow,19.654774135348582
Regina,18.542610677083328
Oslo,13.468423611111115
Mexico City,19.297794696350767
Grande Prairie,14.633105468750003
Santiago,12.385156113834423
Helsinki,14.27841796875001
Brussels,17.440104166666664
Guatemala City,21.232812500000005
Sudbury,13.319563802083335
Vancouver,14.405305989583333
Tegucigalpa,24.04908854166667
Caracas,22.320703124999998
Santo Domingo,26.913932291666665
Quebec City,12.718196614583341
Windsor,18.036132812499993
Paris,19.211957856753813
Singapore,29.281315104166662
Yellowknife,14.106383928571423
San Jose,21.439290364583325
Stockholm,14.729501021241825
Kingston,28.31435546875
Copenhagen,15.186588541666666
Calgary,15.382910156250002
Warsaw,18.232880310457524
Edmonton,16.71025390625
Kyiv,18.702811683006534
Port-au-Prince,29.434895833333336
Bangkok,29.74562312772333
Montevideo,9.596321614583333
Sydney,13.362966741557733
Montreal,14.25345052083333
Asuncion,15.133138020833332
Red Deer,15.628873697916667
Kelowna,19.260481770833337
Tokyo,19.042164794389976
San Salvador,25.291210937499983
Iqaluit,4.298404947916667
Prince Albert,18.41223958333334
New York,17.67850544662309
Lima,18.1258882421024
Moose Jaw,18.664192708333328
Nanaimo,14.834342447916674
Nassau,27.50787760416665
Auckland,14.78853696895425
Vienna,20.97926432291667
London ON,14.738932291666666
Sao Paulo,18.072085988562094
Rome,22.19997038398692
Jakarta,29.040258680555564
Saskatoon,18.19711805555556
Hanoi,29.288311819172122
Victoria BC,13.442773437499998
Seoul,19.625451456971682
Whitehorse,8.97357886904762
Madrid,24.602022399237466
Prague,19.487727864583327
St Johns,12.650358072916664
Panama City,27.495345052083337
Saint John,11.343684895833327
Fort McMurray,17.194368489583333
Estevan,17.8482421875
Dubai,32.37701822916668
Budapest,22.936035156249996
Medellin,21.548152913943348
Kingston ON,13.963313802083334
Toronto,14.65449019607843
Istanbul,19.768304568355113
Halifax,13.237011718750008
